"GEOID","NAME","variable","value"
"34023006604","Census Tract 66.04, Middlesex County, New Jersey","P002002",6692
"34023006605","Census Tract 66.05, Middlesex County, New Jersey","P002002",4008
"34023006606","Census Tract 66.06, Middlesex County, New Jersey","P002002",3001
"34023006607","Census Tract 66.07, Middlesex County, New Jersey","P002002",2918
"34023006608","Census Tract 66.08, Middlesex County, New Jersey","P002002",3737
"34023006701","Census Tract 67.01, Middlesex County, New Jersey","P002002",4110
"34023006703","Census Tract 67.03, Middlesex County, New Jersey","P002002",5916
"34023006800","Census Tract 68, Middlesex County, New Jersey","P002002",4725
"34023006900","Census Tract 69, Middlesex County, New Jersey","P002002",3592
"34023007000","Census Tract 70, Middlesex County, New Jersey","P002002",7691
"34023007101","Census Tract 71.01, Middlesex County, New Jersey","P002002",3740
"34023007102","Census Tract 71.02, Middlesex County, New Jersey","P002002",4417
"34023007103","Census Tract 71.03, Middlesex County, New Jersey","P002002",4559
"34023007202","Census Tract 72.02, Middlesex County, New Jersey","P002002",4693
"34023007203","Census Tract 72.03, Middlesex County, New Jersey","P002002",4823
"34023007301","Census Tract 73.01, Middlesex County, New Jersey","P002002",3253
"34023007303","Census Tract 73.03, Middlesex County, New Jersey","P002002",1939
"34023007304","Census Tract 73.04, Middlesex County, New Jersey","P002002",6120
"34023007402","Census Tract 74.02, Middlesex County, New Jersey","P002002",4827
"34023007500","Census Tract 75, Middlesex County, New Jersey","P002002",3217
"34023007600","Census Tract 76, Middlesex County, New Jersey","P002002",5414
"34023007702","Census Tract 77.02, Middlesex County, New Jersey","P002002",4872
"34023007703","Census Tract 77.03, Middlesex County, New Jersey","P002002",3156
"34023007704","Census Tract 77.04, Middlesex County, New Jersey","P002002",2748
"34023007801","Census Tract 78.01, Middlesex County, New Jersey","P002002",2630
"34023007804","Census Tract 78.04, Middlesex County, New Jersey","P002002",5400
"34023007805","Census Tract 78.05, Middlesex County, New Jersey","P002002",4655
"34023007806","Census Tract 78.06, Middlesex County, New Jersey","P002002",3949
"34023007905","Census Tract 79.05, Middlesex County, New Jersey","P002002",2368
"34023007906","Census Tract 79.06, Middlesex County, New Jersey","P002002",1627
"34023007907","Census Tract 79.07, Middlesex County, New Jersey","P002002",3059
"34023007908","Census Tract 79.08, Middlesex County, New Jersey","P002002",4776
"34023007909","Census Tract 79.09, Middlesex County, New Jersey","P002002",4046
"34023007910","Census Tract 79.10, Middlesex County, New Jersey","P002002",3228
"34023007911","Census Tract 79.11, Middlesex County, New Jersey","P002002",3588
"34023007912","Census Tract 79.12, Middlesex County, New Jersey","P002002",7838
"34023008001","Census Tract 80.01, Middlesex County, New Jersey","P002002",6536
"34023008101","Census Tract 81.01, Middlesex County, New Jersey","P002002",4497
"34023008102","Census Tract 81.02, Middlesex County, New Jersey","P002002",3760
"34023008103","Census Tract 81.03, Middlesex County, New Jersey","P002002",2178
"34023008202","Census Tract 82.02, Middlesex County, New Jersey","P002002",8747
"34023008204","Census Tract 82.04, Middlesex County, New Jersey","P002002",3802
"34023008205","Census Tract 82.05, Middlesex County, New Jersey","P002002",3092
"34023008206","Census Tract 82.06, Middlesex County, New Jersey","P002002",3441
"34023008207","Census Tract 82.07, Middlesex County, New Jersey","P002002",2476
"34023008208","Census Tract 82.08, Middlesex County, New Jersey","P002002",11863
"34023008209","Census Tract 82.09, Middlesex County, New Jersey","P002002",3748
"34023008300","Census Tract 83, Middlesex County, New Jersey","P002002",5915
"34023008403","Census Tract 84.03, Middlesex County, New Jersey","P002002",7142
"34023008404","Census Tract 84.04, Middlesex County, New Jersey","P002002",3876
"34023008405","Census Tract 84.05, Middlesex County, New Jersey","P002002",5116
"34023008406","Census Tract 84.06, Middlesex County, New Jersey","P002002",2067
"34023008501","Census Tract 85.01, Middlesex County, New Jersey","P002002",5281
"34023008502","Census Tract 85.02, Middlesex County, New Jersey","P002002",4294
"34023008503","Census Tract 85.03, Middlesex County, New Jersey","P002002",8375
"34023008504","Census Tract 85.04, Middlesex County, New Jersey","P002002",6134
"34023008601","Census Tract 86.01, Middlesex County, New Jersey","P002002",4871
"34023008602","Census Tract 86.02, Middlesex County, New Jersey","P002002",5140
"34023008604","Census Tract 86.04, Middlesex County, New Jersey","P002002",5855
"34023008605","Census Tract 86.05, Middlesex County, New Jersey","P002002",2506
"34023008606","Census Tract 86.06, Middlesex County, New Jersey","P002002",4423
"34023008700","Census Tract 87, Middlesex County, New Jersey","P002002",3006
"34023008800","Census Tract 88, Middlesex County, New Jersey","P002002",8734
"34023008900","Census Tract 89, Middlesex County, New Jersey","P002002",3683
"34023009000","Census Tract 90, Middlesex County, New Jersey","P002002",5876
"34023009100","Census Tract 91, Middlesex County, New Jersey","P002002",3652
"34023009200","Census Tract 92, Middlesex County, New Jersey","P002002",4333
"34023009300","Census Tract 93, Middlesex County, New Jersey","P002002",5552
"34023009400","Census Tract 94, Middlesex County, New Jersey","P002002",5231
